prAtipadika	antya	nAmapada	liNgam	viBakti	vacanam	rUpam
Atman 	n	nAma	puM	samboDana	eka	Atman
Atman 	n	nAma	puM	samboDana	dvi	he AtmAnO
Atman 	n	nAma	puM	samboDana	bahu	AtmAnaH
tAdfS	S	nAma	puM	praTamA	eka	tAdfk
tAdfS	S	nAma	puM	praTamA	dvi	tAdfSO
tAdfS	S	nAma	puM	praTamA	bahu	tAdfSaH
tAdfS	S	nAma	puM	dvitIyA	eka	tAdfSam
tAdfS	S	nAma	puM	dvitIyA	dvi	tAdfSO
tAdfS	S	nAma	puM	dvitIyA	bahu	tAdfSaH
tAdfS	S	nAma	puM	tftIyA	eka	tAdfSA
tAdfS	S	nAma	puM	tftIyA	dvi	tAdfgByAm
tAdfS	S	nAma	puM	tftIyA	bahu	tAdfgBiH
tAdfS	S	nAma	puM	caturTI	eka	tAdfSe
tAdfS	S	nAma	puM	caturTI	dvi	tAdfgByAm
tAdfS	S	nAma	puM	caturTI	bahu	tAdfgByaH
tAdfS	S	nAma	puM	paYcamI	eka	tAdfSaH
tAdfS	S	nAma	puM	paYcamI	dvi	tAdfgByAm
tAdfS	S	nAma	puM	paYcamI	bahu	tAdfgByaH
tAdfS	S	nAma	puM	zazWI	eka	tAdfSaH
tAdfS	S	nAma	puM	zazWI	dvi	tAdfSoH
tAdfS	S	nAma	puM	zazWI	bahu	tAdfSAm
tAdfS	S	nAma	puM	saptamI	eka	tAdfSi
tAdfS	S	nAma	puM	saptamI	dvi	tAdfSoH
tAdfS	S	nAma	puM	saptamI	bahu	tAdfSu
tAdfS	S	nAma	puM	samboDana	eka	tAdfk
tAdfS	S	nAma	puM	samboDana	dvi	tAdfSO
tAdfS	S	nAma	puM	samboDana	bahu	tAdfSaH
candramas	s	nAma	puM	praTamA	eka	candramAH
candramas	s	nAma	puM	praTamA	dvi	candramasO
candramas	s	nAma	puM	praTamA	bahu	candramasaH
candramas	s	nAma	puM	dvitIyA	eka	candramasam
candramas	s	nAma	puM	dvitIyA	dvi	candramasO
candramas	s	nAma	puM	dvitIyA	bahu	candramasaH
candramas	s	nAma	puM	tftIyA	eka	candramasA
candramas	s	nAma	puM	tftIyA	dvi	candramoByAm
candramas	s	nAma	puM	tftIyA	bahu	candramoBiH
candramas	s	nAma	puM	caturTI	eka	candramase
candramas	s	nAma	puM	caturTI	dvi	candramoByAm
candramas	s	nAma	puM	caturTI	bahu	candramoByaH
candramas	s	nAma	puM	paYcamI	eka	candramasaH
candramas	s	nAma	puM	paYcamI	dvi	candramoByAm
candramas	s	nAma	puM	paYcamI	bahu	candramoByaH
candramas	s	nAma	puM	zazWI	eka	candramasaH
candramas	s	nAma	puM	zazWI	dvi	candramasoH
candramas	s	nAma	puM	zazWI	bahu	candramasAm
candramas	s	nAma	puM	saptamI	eka	candramasi
candramas	s	nAma	puM	saptamI	dvi	candramasoH
candramas	s	nAma	puM	saptamI	bahu	candramassu
candramas	s	nAma	puM	samboDana	eka	candramaH
candramas	s	nAma	puM	samboDana	dvi	he candramasO
candramas	s	nAma	puM	samboDana	bahu	candramasaH
anaquh	h	nAma	puM	praTamA	eka	anaqvAn
anaquh	h	nAma	puM	praTamA	dvi	anaqvAhO
anaquh	h	nAma	puM	praTamA	bahu	anaqvAhaH
anaquh	h	nAma	puM	dvitIyA	eka	anaqvAham
anaquh	h	nAma	puM	dvitIyA	dvi	anaqvAhO
anaquh	h	nAma	puM	dvitIyA	bahu	anaquhaH
anaquh	h	nAma	puM	tftIyA	eka	anaquhA
anaquh	h	nAma	puM	tftIyA	dvi	anaqudByAm
anaquh	h	nAma	puM	tftIyA	bahu	anaqudBiH
anaquh	h	nAma	puM	caturTI	eka	anaquhe
anaquh	h	nAma	puM	caturTI	dvi	anaqudByAm
