	लट्लकारः	लोट्लकारः	लङ्लकारः	विधिलिङ्लकारः	लृट्लकारः	लुट्लकारः	आशीर्लिङ्लकारः	लृङ्लकारः	लिट्लकारः	लुङ्लकारः
उत्तमपुरुषः	अहं पुस्तकं लिखामि	अहं पुस्तकं लिखानि	अहं पुस्तकम् अलिखम्	अहं पुस्तकं लिखेयम्	अहं पुस्तकं लेखिष्यामि	अहं पुस्तकं लेखितास्मि	अहं पुस्तकं लिख्यासम्	अहं पुस्तकम् अलेखिष्यम् 	अहं पुस्तकं लिलेख	अहं पुस्तकम् अलेखिषम्
	आवां पुस्तके लिखावः	आवां पुस्तके लिखाव 	आवां पुस्तके अलिखाव 	आवां पुस्तके लिखेव	आवां पुस्तके लेखिष्यावः	आवां पुस्तके लेखितास्वः	आवां पुस्तके लिख्यास्व	आवां पुस्तके अलेखिष्याव	आवां पुस्तके लिलिखिव	आवां पुस्तके अलेखिष्व
	वयं पुस्तकानि लिखामः	वयं पुस्तकानि लिखाम 	वयं पुस्तकानि अलिखाम	वयं पुस्तकानि लिखेम	वयं पुस्तकानि लेखिष्यामः	वयं पुस्तकानि लेखितास्मः	वयं पुस्तकानि लिख्यास्म	वयं पुस्तकानि अलेखिष्याम	वयं पुस्तकानि लिलिखिम	वयं पुस्तकानि अलेखिष्म
										
रुधादिगणः										
प्रथमपुरुषः	बालकः/बालिका युनक्ति	बालकः/बालिका युनक्तु	बालकः/बालिका अयुनक्	बालकः/बालिका युञ्ज्यात्	बालकः/बालिका योक्ष्यति	बालकः/बालिका योक्ता	बालकः/बालिका युज्यात्	बालकः/बालिका अयोक्ष्यत्	बालकः/बालिका युयोज	बालकः/बालिका अयौक्षीत्
	बालकौ/बालिके युङ्क्तः	बालकौ/बालिके युङ्क्ताम्	बालकौ/बालिके अयुङ्क्ताम्	बालकौ/बालिके युञ्ज्याताम्	बालकौ/बालिके योक्ष्यतः	बालकौ/बालिके योक्तारौ	बालकौ/बालिके युज्यास्ताम्	बालकौ/बालिके अयोक्ष्यताम्	बालकौ/बालिके युयुजतुः	बालकौ/बालिके अयौक्ताम्
	बालकाः/बालिकाः युञ्जन्ति	बालकाः/बालिकाः युञ्जन्तु	बालकाः/बालिकाः अयुञ्जन्	बालकाः/बालिकाः युञ्ज्युः	बालकाः/बालिकाः योक्ष्यन्ति	बालकाः/बालिकाः योक्तारः	बालकाः/बालिकाः युज्यासुः	बालकाः/बालिकाः अयोक्ष्यन्	बालकाः/बालिकाः युयुजुः	बालकाः/बालिकाः अयौक्षुः
										
मध्यमपुरुषः	त्वं युनक्षि	त्वं युङ्ग्धि	त्वम् अयुनक्	त्वं युञ्ज्याः	त्वं योक्ष्यसि	त्वं योक्तासि	त्वं युज्याः	त्वम् अयोक्ष्यः	त्वं युयोजिथ	त्वम् अयौक्षीः
	युवां युङ्क्थः	युवां युङ्क्तम्	युवाम् अयुङ्क्तम्	युवां युञ्ज्यातम्	युवां योक्ष्यथः	युवां योक्तास्थः	युवां युज्यास्तम्	युवाम् अयोक्ष्यतम्	युवां युयुजथुः	युवाम् अयौक्तम्
