प्रातिपदिक	नामपद	लिङ्गम्	विभक्ति	वचनम्	रूपम्
अन्य	सर्वनाम	स्त्री	पञ्चमी	बहु	अन्याभ्यः
अन्य	सर्वनाम	स्त्री	षष्ठी	एक	अन्यायाः
अन्य	सर्वनाम	स्त्री	षष्ठी	द्वि	अन्ययोः
अन्य	सर्वनाम	स्त्री	षष्ठी	बहु	अन्यासाम्
अन्य	सर्वनाम	स्त्री	सप्तमी	एक	अन्यायाम्
अन्य	सर्वनाम	स्त्री	सप्तमी	द्वि	अन्ययोः
अन्य	सर्वनाम	स्त्री	सप्तमी	बहु	अन्यासु
अन्य	सर्वनाम	स्त्री	सम्बोधन	एक	
अन्य	सर्वनाम	स्त्री	सम्बोधन	द्वि	
अन्य	सर्वनाम	स्त्री	सम्बोधन	बहु	
विश्व	सर्वनाम	स्त्री	प्रथमा	एक	विश्वा
विश्व	सर्वनाम	स्त्री	प्रथमा	द्वि	विश्वे
विश्व	सर्वनाम	स्त्री	प्रथमा	बहु	विश्वाः
विश्व	सर्वनाम	स्त्री	द्वितीया	एक	विश्वाम्
विश्व	सर्वनाम	स्त्री	द्वितीया	द्वि	विश्वे
विश्व	सर्वनाम	स्त्री	द्वितीया	बहु	विश्वाः
विश्व	सर्वनाम	स्त्री	तृतीया	एक	विश्वया
विश्व	सर्वनाम	स्त्री	तृतीया	द्वि	विश्वाभ्याम्
विश्व	सर्वनाम	स्त्री	तृतीया	बहु	विश्वाभिः
विश्व	सर्वनाम	स्त्री	चतुर्थी	एक	विश्वायै
विश्व	सर्वनाम	स्त्री	चतुर्थी	द्वि	विश्वाभ्याम्
विश्व	सर्वनाम	स्त्री	चतुर्थी	बहु	विश्वाभ्यः
विश्व	सर्वनाम	स्त्री	पञ्चमी	एक	विश्वायाः
विश्व	सर्वनाम	स्त्री	पञ्चमी	द्वि	विश्वाभ्याम्
विश्व	सर्वनाम	स्त्री	पञ्चमी	बहु	विश्वाभ्यः
विश्व	सर्वनाम	स्त्री	षष्ठी	एक	विश्वायाः
विश्व	सर्वनाम	स्त्री	षष्ठी	द्वि	विश्वयोः
विश्व	सर्वनाम	स्त्री	षष्ठी	बहु	विश्वासाम्
विश्व	सर्वनाम	स्त्री	सप्तमी	एक	विश्वायाम्
विश्व	सर्वनाम	स्त्री	सप्तमी	द्वि	विश्वयोः
विश्व	सर्वनाम	स्त्री	सप्तमी	बहु	विश्वासु
विश्व	सर्वनाम	स्त्री	सम्बोधन	एक	
विश्व	सर्वनाम	स्त्री	सम्बोधन	द्वि	
विश्व	सर्वनाम	स्त्री	सम्बोधन	बहु	
तद्	सर्वनाम	स्त्री	प्रथमा	एक	सा
तद्	सर्वनाम	स्त्री	प्रथमा	द्वि	ते
