prAtipadika	nAmapada	liNgam	viBakti	vacanam	rUpam
vidvas	nAma	puM	tftIyA	bahu	vidvadBiH
vidvas	nAma	puM	caturTI	eka	viduze
vidvas	nAma	puM	caturTI	dvi	vidvadByAm
vidvas	nAma	puM	caturTI	bahu	vidvadByaH
vidvas	nAma	puM	paYcamI	eka	viduzaH
vidvas	nAma	puM	paYcamI	dvi	vidvadByAm
vidvas	nAma	puM	paYcamI	bahu	vidvadByaH
vidvas	nAma	puM	zazWI	eka	viduzaH
vidvas	nAma	puM	zazWI	dvi	viduzoH
vidvas	nAma	puM	zazWI	bahu	viduzAm
vidvas	nAma	puM	saptamI	eka	viduzi
vidvas	nAma	puM	saptamI	dvi	viduzoH
vidvas	nAma	puM	saptamI	bahu	vidvatsu
vidvas	nAma	puM	samboDana	eka	vidvan
vidvas	nAma	puM	samboDana	dvi	vidvAMsO
vidvas	nAma	puM	samboDana	bahu	vidvAMsaH
Sreyas	nAma	puM	praTamA	eka	SreyAn
